Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Drink_Driving,Involving_Driver_Speed,Involving_Fatigued_Driver,Involving_Defective_Vehicle,Count_Crashes,Count_Fatality,Count_Hospitalised,Count_Medically_Treated,Count_Minor_Injury,Count_All_Casualties
2001,Far Northern,Minor injury,No,No,Yes,No,3,0,0,0,5,5
2001,Far Northern,Minor injury,No,No,Yes,Yes,1,0,0,0,1,1
2001,Far Northern,Minor injury,No,Yes,No,No,4,0,0,0,5,5
2001,Far Northern,Minor injury,No,Yes,No,Yes,1,0,0,0,2,2
2001,Far Northern,Minor injury,Yes,No,No,No,10,0,0,0,10,10
2001,Far Northern,Minor injury,Yes,Yes,No,No,4,0,0,0,6,6
2001,Far Northern,Property damage only,No,No,No,No,463,0,0,0,0,0
2001,Far Northern,Property damage only,No,No,No,Yes,21,0,0,0,0,0
2001,Far Northern,Property damage only,No,No,Yes,No,12,0,0,0,0,0
2001,Far Northern,Property damage only,No,Yes,No,No,30,0,0,0,0,0
2001,Far Northern,Property damage only,No,Yes,No,Yes,2,0,0,0,0,0
2001,Far Northern,Property damage only,Yes,No,No,No,29,0,0,0,0,0
2001,Far Northern,Property damage only,Yes,No,No,Yes,2,0,0,0,0,0
2001,Far Northern,Property damage only,Yes,No,Yes,No,1,0,0,0,0,0
2001,Far Northern,Property damage only,Yes,Yes,No,No,3,0,0,0,0,0
2001,North Coast,Fatal,No,No,No,No,44,48,18,8,4,78
2001,North Coast,Fatal,No,No,Yes,No,2,2,3,0,0,5
2001,North Coast,Fatal,No,Yes,No,No,4,4,0,0,0,4
2001,North Coast,Fatal,Yes,No,No,No,13,13,11,4,0,28
2001,North Coast,Fatal,Yes,Yes,No,No,2,2,1,0,0,3
2001,North Coast,Hospitalisation,No,No,No,No,576,0,720,91,39,850
2001,North Coast,Hospitalisation,No,No,No,Yes,16,0,19,0,1,20
2001,North Coast,Hospitalisation,No,No,Yes,No,37,0,42,2,1,45
2001,North Coast,Hospitalisation,No,Yes,No,No,40,0,54,10,3,67
2001,North Coast,Hospitalisation,No,Yes,Yes,No,2,0,3,1,0,4
2001,North Coast,Hospitalisation,Yes,No,No,No,63,0,89,10,6,105
2001,North Coast,Hospitalisation,Yes,Yes,No,No,12,0,18,0,0,18
2001,North Coast,Medical treatment,No,No,No,No,939,0,0,1160,94,1254
2001,North Coast,Medical treatment,No,No,No,Yes,20,0,0,23,1,24
2001,North Coast,Medical treatment,No,No,Yes,No,21,0,0,27,2,29
2001,North Coast,Medical treatment,No,Yes,No,No,25,0,0,39,0,39
2001,North Coast,Medical treatment,No,Yes,No,Yes,1,0,0,1,0,1
2001,North Coast,Medical treatment,No,Yes,Yes,No,1,0,0,1,0,1
2001,North Coast,Medical treatment,Yes,No,No,No,50,0,0,65,5,70
2001,North Coast,Medical treatment,Yes,No,No,Yes,1,0,0,2,1,3
2001,North Coast,Medical treatment,Yes,No,Yes,No,1,0,0,1,0,1
2001,North Coast,Medical treatment,Yes,Yes,No,No,11,0,0,13,0,13
2001,North Coast,Minor injury,No,No,No,No,443,0,0,0,525,525
2001,North Coast,Minor injury,No,No,No,Yes,15,0,0,0,18,18
2001,North Coast,Minor injury,No,No,Yes,No,7,0,0,0,9,9
2001,North Coast,Minor injury,No,No,Yes,Yes,1,0,0,0,1,1
2001,North Coast,Minor injury,No,Yes,No,No,12,0,0,0,13,13
2001,North Coast,Minor injury,No,Yes,No,Yes,2,0,0,0,2,2
2001,North Coast,Minor injury,Yes,No,No,No,24,0,0,0,27,27
2001,North Coast,Minor injury,Yes,No,Yes,No,2,0,0,0,2,2
2001,North Coast,Minor injury,Yes,Yes,No,No,2,0,0,0,2,2
2001,North Coast,Property damage only,No,No,No,No,1271,0,0,0,0,0
2001,North Coast,Property damage only,No,No,No,Yes,64,0,0,0,0,0
2001,North Coast,Property damage only,No,No,Yes,No,25,0,0,0,0,0
2001,North Coast,Property damage only,No,Yes,No,No,68,0,0,0,0,0
2001,North Coast,Property damage only,No,Yes,No,Yes,4,0,0,0,0,0
2001,North Coast,Property damage only,No,Yes,Yes,No,2,0,0,0,0,0
2001,North Coast,Property damage only,Yes,No,No,No,81,0,0,0,0,0
2001,North Coast,Property damage only,Yes,No,No,Yes,3,0,0,0,0,0
2001,North Coast,Property damage only,Yes,No,Yes,No,3,0,0,0,0,0
2001,North Coast,Property damage only,Yes,Yes,No,No,14,0,0,0,0,0
2001,Northern,Fatal,No,No,No,No,10,12,2,0,0,14
2001,Northern,Fatal,No,Yes,No,No,4,4,4,0,0,8
2001,Northern,Fatal,Yes,No,No,No,1,1,2,0,0,3
2001,Northern,Fatal,Yes,No,No,Yes,1,1,0,0,0,1
2001,Northern,Fatal,Yes,No,Yes,No,1,1,0,0,0,1
2001,Northern,Hospitalisation,No,No,No,No,189,0,222,10,7,239
2001,Northern,Hospitalisation,No,No,No,Yes,12,0,14,3,2,19
2001,Northern,Hospitalisation,No,No,Yes,No,9,0,14,1,0,15
2001,Northern,Hospitalisation,No,Yes,No,No,14,0,21,0,1,22
2001,Northern,Hospitalisation,No,Yes,No,Yes,2,0,3,0,1,4
2001,Northern,Hospitalisation,Yes,No,No,No,21,0,23,6,0,29
2001,Northern,Hospitalisation,Yes,No,No,Yes,1,0,1,0,0,1
2001,Northern,Hospitalisation,Yes,Yes,No,No,3,0,4,4,0,8
2001,Northern,Medical treatment,No,No,No,No,243,0,0,302,17,319
2001,Northern,Medical treatment,No,No,No,Yes,4,0,0,5,0,5
2001,Northern,Medical treatment,No,No,Yes,No,1,0,0,1,0,1
2001,Northern,Medical treatment,No,Yes,No,No,7,0,0,9,0,9
2001,Northern,Medical treatment,No,Yes,No,Yes,1,0,0,1,0,1
2001,Northern,Medical treatment,Yes,No,No,No,11,0,0,14,0,14
2001,Northern,Medical treatment,Yes,Yes,No,No,2,0,0,2,0,2
2001,Northern,Minor injury,No,No,No,No,131,0,0,0,163,163
2001,Northern,Minor injury,No,No,No,Yes,1,0,0,0,2,2
2001,Northern,Minor injury,No,No,Yes,No,2,0,0,0,3,3
2001,Northern,Minor injury,No,Yes,No,No,1,0,0,0,1,1
2001,Northern,Minor injury,Yes,No,No,No,4,0,0,0,4,4
2001,Northern,Minor injury,Yes,Yes,No,No,2,0,0,0,2,2
2001,Northern,Property damage only,No,No,No,No,390,0,0,0,0,0
2001,Northern,Property damage only,No,No,No,Yes,14,0,0,0,0,0
2001,Northern,Property damage only,No,No,Yes,No,3,0,0,0,0,0
2001,Northern,Property damage only,No,Yes,No,No,22,0,0,0,0,0
2001,Northern,Property damage only,No,Yes,No,Yes,1,0,0,0,0,0
2001,Northern,Property damage only,Yes,No,No,No,31,0,0,0,0,0
2001,Northern,Property damage only,Yes,Yes,No,No,4,0,0,0,0,0
2001,South Eastern,Fatal,No,No,No,No,28,29,24,5,2,60
2001,South Eastern,Fatal,No,No,Yes,No,1,1,1,4,0,6
2001,South Eastern,Fatal,No,Yes,No,No,4,4,1,3,0,8
2001,South Eastern,Fatal,Yes,No,No,No,7,7,4,1,0,12
2001,South Eastern,Fatal,Yes,Yes,No,No,2,2,2,0,0,4
2001,South Eastern,Fatal,Yes,Yes,No,Yes,1,1,0,0,0,1
2001,South Eastern,Hospitalisation,No,No,No,No,635,0,778,100,49,927
2001,South Eastern,Hospitalisation,No,No,No,Yes,17,0,21,3,0,24
2001,South Eastern,Hospitalisation,No,No,Yes,No,11,0,13,1,1,15
2001,South Eastern,Hospitalisation,No,Yes,No,No,44,0,66,3,5,74
2001,South Eastern,Hospitalisation,No,Yes,No,Yes,1,0,1,0,0,1
2001,South Eastern,Hospitalisation,Yes,No,No,No,57,0,66,6,5,77
2001,South Eastern,Hospitalisation,Yes,No,No,Yes,1,0,4,0,0,4
2001,South Eastern,Hospitalisation,Yes,Yes,No,No,13,0,18,0,0,18
2001,South Eastern,Medical treatment,No,No,No,No,1012,0,0,1267,81,1348
2001,South Eastern,Medical treatment,No,No,No,Yes,21,0,0,23,0,23
2001,South Eastern,Medical treatment,No,No,Yes,No,9,0,0,9,0,9
2001,South Eastern,Medical treatment,No,Yes,No,No,26,0,0,33,0,33
2001,South Eastern,Medical treatment,No,Yes,No,Yes,1,0,0,1,1,2
2001,South Eastern,Medical treatment,No,Yes,Yes,No,1,0,0,4,0,4
2001,South Eastern,Medical treatment,Yes,No,No,No,37,0,0,50,0,50
2001,South Eastern,Medical treatment,Yes,No,No,Yes,1,0,0,2,0,2
2001,South Eastern,Medical treatment,Yes,Yes,No,No,3,0,0,6,0,6
2001,South Eastern,Minor injury,No,No,No,No,518,0,0,0,637,637
2001,South Eastern,Minor injury,No,No,No,Yes,12,0,0,0,14,14
2001,South Eastern,Minor injury,No,No,Yes,No,4,0,0,0,4,4
2001,South Eastern,Minor injury,No,Yes,No,No,20,0,0,0,25,25
2001,South Eastern,Minor injury,Yes,No,No,No,20,0,0,0,23,23
2001,South Eastern,Minor injury,Yes,No,Yes,No,1,0,0,0,1,1
2001,South Eastern,Minor injury,Yes,Yes,No,No,3,0,0,0,3,3
2001,South Eastern,Property damage only,No,No,No,No,891,0,0,0,0,0
2001,South Eastern,Property damage only,No,No,No,Yes,31,0,0,0,0,0
2001,South Eastern,Property damage only,No,No,Yes,No,13,0,0,0,0,0
2001,South Eastern,Property damage only,No,Yes,No,No,58,0,0,0,0,0
2001,South Eastern,Property damage only,No,Yes,No,Yes,4,0,0,0,0,0
2001,South Eastern,Property damage only,Yes,No,No,No,109,0,0,0,0,0
2001,South Eastern,Property damage only,Yes,No,No,Yes,1,0,0,0,0,0
2001,South Eastern,Property damage only,Yes,No,Yes,No,3,0,0,0,0,0
2001,South Eastern,Property damage only,Yes,Yes,No,No,13,0,0,0,0,0
2001,Southern,Fatal,No,No,No,No,37,41,21,3,6,71
2001,Southern,Fatal,No,No,No,Yes,1,1,0,0,0,1
2001,Southern,Fatal,No,No,Yes,No,4,6,5,0,0,11
2001,Southern,Fatal,No,Yes,No,No,8,9,1,0,1,11
2001,Southern,Fatal,Yes,No,No,No,6,8,3,0,0,11
2001,Southern,Fatal,Yes,No,Yes,No,2,2,0,0,0,2
2001,Southern,Fatal,Yes,Yes,No,No,2,2,0,0,0,2
2001,Southern,Hospitalisation,No,No,No,No,410,0,492,74,26,592
2001,Southern,Hospitalisation,No,No,No,Yes,17,0,21,2,1,24
2001,Southern,Hospitalisation,No,No,Yes,No,27,0,34,1,2,37
2001,Southern,Hospitalisation,No,Yes,No,No,28,0,36,5,0,41
2001,Southern,Hospitalisation,No,Yes,No,Yes,1,0,1,0,0,1
2001,Southern,Hospitalisation,Yes,No,No,No,43,0,52,7,3,62
2001,Southern,Hospitalisation,Yes,No,Yes,No,1,0,1,0,0,1
2001,Southern,Hospitalisation,Yes,Yes,No,No,10,0,15,1,0,16
2001,Southern,Medical treatment,No,No,No,No,515,0,0,613,49,662
2001,Southern,Medical treatment,No,No,No,Yes,20,0,0,27,0,27
2001,Southern,Medical treatment,No,No,Yes,No,18,0,0,28,0,28
2001,Southern,Medical treatment,No,Yes,No,No,16,0,0,22,0,22
2001,Southern,Medical treatment,Yes,No,No,No,20,0,0,24,0,24
2001,Southern,Medical treatment,Yes,Yes,No,No,2,0,0,3,0,3
2001,Southern,Minor injury,No,No,No,No,303,0,0,0,365,365
2001,Southern,Minor injury,No,No,No,Yes,12,0,0,0,18,18
2001,Southern,Minor injury,No,No,Yes,No,9,0,0,0,10,10
2001,Southern,Minor injury,No,Yes,No,No,14,0,0,0,15,15
2001,Southern,Minor injury,No,Yes,No,Yes,2,0,0,0,6,6
2001,Southern,Minor injury,Yes,No,No,No,15,0,0,0,17,17
2001,Southern,Minor injury,Yes,Yes,No,No,3,0,0,0,3,3
2001,Southern,Property damage only,No,No,No,No,1029,0,0,0,0,0
2001,Southern,Property damage only,No,No,No,Yes,46,0,0,0,0,0
2001,Southern,Property damage only,No,No,Yes,No,21,0,0,0,0,0
2001,Southern,Property damage only,No,No,Yes,Yes,1,0,0,0,0,0
2001,Southern,Property damage only,No,Yes,No,No,48,0,0,0,0,0
2001,Southern,Property damage only,No,Yes,No,Yes,3,0,0,0,0,0
2001,Southern,Property damage only,Yes,No,No,No,56,0,0,0,0,0
2001,Southern,Property damage only,Yes,No,No,Yes,1,0,0,0,0,0
2001,Southern,Property damage only,Yes,No,Yes,No,3,0,0,0,0,0
2001,Southern,Property damage only,Yes,Yes,No,No,9,0,0,0,0,0
2001,Unknown,Hospitalisation,No,No,No,No,48,0,61,14,4,79
2001,Unknown,Hospitalisation,No,No,No,Yes,2,0,2,8,0,10
2001,Unknown,Hospitalisation,No,Yes,No,No,7,0,13,3,0,16
2001,Unknown,Hospitalisation,Yes,No,No,No,7,0,8,0,0,8
2001,Unknown,Hospitalisation,Yes,Yes,No,No,1,0,3,0,0,3
2001,Unknown,Hospitalisation,Yes,Yes,No,Yes,1,0,2,2,0,4
2001,Unknown,Medical treatment,No,No,No,No,49,0,0,60,1,61
2001,Unknown,Medical treatment,No,No,No,Yes,2,0,0,2,0,2
2001,Unknown,Medical treatment,No,No,Yes,No,1,0,0,1,0,1
2001,Unknown,Medical treatment,No,Yes,No,No,8,0,0,12,1,13
2001,Unknown,Medical treatment,Yes,No,No,No,4,0,0,4,0,4
2001,Unknown,Medical treatment,Yes,Yes,No,No,1,0,0,1,0,1
2001,Unknown,Minor injury,No,No,No,No,26,0,0,0,28,28
2001,Unknown,Minor injury,No,Yes,No,No,2,0,0,0,2,2
2001,Unknown,Minor injury,Yes,No,No,No,3,0,0,0,4,4
2001,Unknown,Property damage only,No,No,No,No,47,0,0,0,0,0
2001,Unknown,Property damage only,No,No,No,Yes,5,0,0,0,0,0
2001,Unknown,Property damage only,No,Yes,No,No,4,0,0,0,0,0
2001,Unknown,Property damage only,Yes,No,No,No,4,0,0,0,0,0
2002,Brisbane,Fatal,No,No,No,No,24,24,11,2,2,39
2002,Brisbane,Fatal,No,Yes,No,No,5,6,0,0,0,6
2002,Brisbane,Fatal,Yes,No,No,No,2,2,0,0,0,2
2002,Brisbane,Fatal,Yes,Yes,No,No,6,8,1,0,1,10
2002,Brisbane,Hospitalisation,No,No,No,No,1090,0,1284,136,92,1512
2002,Brisbane,Hospitalisation,No,No,No,Yes,23,0,26,1,1,28
2002,Brisbane,Hospitalisation,No,No,Yes,No,17,0,18,4,0,22
2002,Brisbane,Hospitalisation,No,Yes,No,No,43,0,61,11,3,75
2002,Brisbane,Hospitalisation,No,Yes,No,Yes,3,0,6,12,0,18
2002,Brisbane,Hospitalisation,Yes,No,No,No,58,0,63,7,3,73
2002,Brisbane,Hospitalisation,Yes,No,No,Yes,2,0,2,1,0,3
2002,Brisbane,Hospitalisation,Yes,No,Yes,No,1,0,1,0,0,1
2002,Brisbane,Hospitalisation,Yes,Yes,No,No,9,0,13,4,3,20
2002,Brisbane,Medical treatment,No,No,No,No,1881,0,0,2199,132,2331
2002,Brisbane,Medical treatment,No,No,No,Yes,22,0,0,25,1,26
2002,Brisbane,Medical treatment,No,No,Yes,No,15,0,0,17,2,19
2002,Brisbane,Medical treatment,No,Yes,No,No,39,0,0,54,6,60
2002,Brisbane,Medical treatment,No,Yes,No,Yes,1,0,0,1,0,1
2002,Brisbane,Medical treatment,Yes,No,No,No,48,0,0,56,2,58
2002,Brisbane,Medical treatment,Yes,No,No,Yes,1,0,0,1,1,2
2002,Brisbane,Medical treatment,Yes,Yes,No,No,2,0,0,2,0,2
2002,Brisbane,Minor injury,No,No,No,No,1121,0,0,0,1348,1348
2002,Brisbane,Minor injury,No,No,No,Yes,17,0,0,0,20,20
2002,Brisbane,Minor injury,No,No,Yes,No,8,0,0,0,8,8
2002,Brisbane,Minor injury,No,Yes,No,No,26,0,0,0,28,28
2002,Brisbane,Minor injury,No,Yes,No,Yes,1,0,0,0,1,1
2002,Brisbane,Minor injury,No,Yes,Yes,No,1,0,0,0,1,1
2002,Brisbane,Minor injury,Yes,No,No,No,30,0,0,0,33,33
2002,Brisbane,Minor injury,Yes,Yes,No,No,4,0,0,0,5,5
2002,Brisbane,Property damage only,No,No,No,No,1977,0,0,0,0,0
2002,Brisbane,Property damage only,No,No,No,Yes,59,0,0,0,0,0
2002,Brisbane,Property damage only,No,No,Yes,No,18,0,0,0,0,0
2002,Brisbane,Property damage only,No,Yes,No,No,120,0,0,0,0,0
2002,Brisbane,Property damage only,No,Yes,No,Yes,5,0,0,0,0,0
2002,Brisbane,Property damage only,No,Yes,Yes,No,2,0,0,0,0,0
2002,Brisbane,Property damage only,Yes,No,No,No,153,0,0,0,0,0
2002,Brisbane,Property damage only,Yes,No,No,Yes,1,0,0,0,0,0
2002,Brisbane,Property damage only,Yes,No,Yes,No,4,0,0,0,0,0
2002,Brisbane,Property damage only,Yes,Yes,No,No,16,0,0,0,0,0
2002,Central,Fatal,No,No,No,No,24,31,24,4,0,59
2002,Central,Fatal,No,No,Yes,No,3,5,3,0,0,8
2002,Central,Fatal,No,Yes,No,No,3,3,0,0,0,3
2002,Central,Fatal,No,Yes,Yes,No,1,1,0,0,0,1
2002,Central,Fatal,Yes,No,No,No,5,7,6,1,0,14
2002,Central,Fatal,Yes,Yes,Yes,No,1,1,0,0,0,1
2002,Central,Hospitalisation,No,No,No,No,330,0,385,56,23,464
2002,Central,Hospitalisation,No,No,No,Yes,13,0,15,3,2,20
2002,Central,Hospitalisation,No,No,Yes,No,25,0,36,3,1,40
2002,Central,Hospitalisation,No,Yes,No,No,33,0,48,8,6,62
2002,Central,Hospitalisation,Yes,No,No,No,43,0,54,5,2,61
2002,Central,Hospitalisation,Yes,No,Yes,No,3,0,5,0,0,5
2002,Central,Hospitalisation,Yes,Yes,No,No,6,0,7,2,0,9
2002,Central,Medical treatment,No,No,No,No,326,0,0,391,29,420
2002,Central,Medical treatment,No,No,No,Yes,14,0,0,18,0,18
2002,Central,Medical treatment,No,No,Yes,No,21,0,0,25,2,27
2002,Central,Medical treatment,No,Yes,No,No,14,0,0,15,2,17
2002,Central,Medical treatment,No,Yes,Yes,No,1,0,0,1,0,1
2002,Central,Medical treatment,Yes,No,No,No,26,0,0,33,0,33
2002,Central,Medical treatment,Yes,No,No,Yes,2,0,0,3,1,4
2002,Central,Medical treatment,Yes,No,Yes,No,1,0,0,1,0,1
2002,Central,Medical treatment,Yes,Yes,No,No,3,0,0,4,0,4
2002,Central,Medical treatment,Yes,Yes,Yes,No,1,0,0,1,0,1
2002,Central,Minor injury,No,No,No,No,221,0,0,0,252,252
2002,Central,Minor injury,No,No,No,Yes,12,0,0,0,15,15
2002,Central,Minor injury,No,No,Yes,No,11,0,0,0,11,11
2002,Central,Minor injury,No,Yes,No,No,7,0,0,0,9,9
2002,Central,Minor injury,Yes,No,No,No,8,0,0,0,8,8
2002,Central,Minor injury,Yes,No,No,Yes,1,0,0,0,1,1
2002,Central,Minor injury,Yes,Yes,No,No,3,0,0,0,3,3
2002,Central,Property damage only,No,No,No,No,717,0,0,0,0,0
2002,Central,Property damage only,No,No,No,Yes,37,0,0,0,0,0
2002,Central,Property damage only,No,No,Yes,No,23,0,0,0,0,0
2002,Central,Property damage only,No,Yes,No,No,40,0,0,0,0,0
2002,Central,Property damage only,Yes,No,No,No,49,0,0,0,0,0
2002,Central,Property damage only,Yes,No,No,Yes,1,0,0,0,0,0
2002,Central,Property damage only,Yes,No,Yes,No,4,0,0,0,0,0
2002,Central,Property damage only,Yes,Yes,No,No,11,0,0,0,0,0
2002,Far Northern,Fatal,No,No,No,No,16,17,15,4,0,36
2002,Far Northern,Fatal,No,No,No,Yes,1,1,0,0,0,1
2002,Far Northern,Fatal,No,No,Yes,No,1,1,0,0,0,1
2002,Far Northern,Fatal,No,Yes,No,No,1,2,1,0,0,3
2002,Far Northern,Fatal,Yes,No,No,No,2,2,0,0,0,2
2002,Far Northern,Fatal,Yes,No,No,Yes,1,1,0,0,0,1
