Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Male_Driver,Involving_Female_Driver,Involving_Young_Driver_16-24,Involving_Senior_Driver_60plus,Involving_Provisional_Driver,Involving_Overseas_Licensed_Driver,Involving_Unlicensed_Driver,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,Yes,No,Yes,1,0,2,1,0,3
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,Yes,Yes,No,1,0,1,1,0,2
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,No,No,No,9,0,10,0,0,10
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,No,No,Yes,1,0,2,0,0,2
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,Yes,No,No,3,0,3,2,0,5
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,Yes,No,Yes,1,0,1,1,0,2
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,Yes,Yes,Yes,No,1,0,1,0,0,1
2001,Brisbane,Medical treatment,No,No,No,No,No,No,No,37,0,0,38,0,38
2001,Brisbane,Medical treatment,No,Yes,No,No,No,No,No,196,0,0,226,5,231
2001,Brisbane,Medical treatment,No,Yes,No,No,No,No,Yes,1,0,0,1,0,1
2001,Brisbane,Medical treatment,No,Yes,No,No,No,Yes,No,2,0,0,2,0,2
2001,Brisbane,Medical treatment,No,Yes,No,No,Yes,No,No,2,0,0,2,0,2
2001,Brisbane,Medical treatment,No,Yes,No,Yes,No,No,No,31,0,0,35,3,38
2001,Brisbane,Medical treatment,No,Yes,No,Yes,Yes,No,No,1,0,0,1,0,1
2001,Brisbane,Medical treatment,No,Yes,Yes,No,No,No,No,47,0,0,60,2,62
2001,Brisbane,Medical treatment,No,Yes,Yes,No,No,No,Yes,3,0,0,4,0,4
2001,Brisbane,Medical treatment,No,Yes,Yes,No,No,Yes,No,1,0,0,1,0,1
2001,Brisbane,Medical treatment,No,Yes,Yes,No,Yes,No,No,72,0,0,83,7,90
2001,Brisbane,Medical treatment,No,Yes,Yes,No,Yes,No,Yes,1,0,0,1,0,1
2001,Brisbane,Medical treatment,No,Yes,Yes,Yes,No,No,No,3,0,0,4,0,4
2001,Brisbane,Medical treatment,No,Yes,Yes,Yes,Yes,No,No,1,0,0,1,0,1
2001,Brisbane,Medical treatment,Yes,No,No,No,No,No,No,401,0,0,463,13,476
2001,Brisbane,Medical treatment,Yes,No,No,No,No,No,Yes,29,0,0,32,2,34
2001,Brisbane,Medical treatment,Yes,No,No,No,No,Yes,No,10,0,0,11,1,12
2001,Brisbane,Medical treatment,Yes,No,No,No,No,Yes,Yes,1,0,0,2,0,2
2001,Brisbane,Medical treatment,Yes,No,No,No,Yes,No,No,16,0,0,19,4,23
2001,Brisbane,Medical treatment,Yes,No,No,Yes,No,No,No,101,0,0,123,3,126
2001,Brisbane,Medical treatment,Yes,No,No,Yes,No,No,Yes,2,0,0,3,0,3
2001,Brisbane,Medical treatment,Yes,No,No,Yes,No,Yes,No,1,0,0,1,0,1
2001,Brisbane,Medical treatment,Yes,No,No,Yes,Yes,No,No,1,0,0,1,1,2
2001,Brisbane,Medical treatment,Yes,No,Yes,No,No,No,No,124,0,0,133,8,141
2001,Brisbane,Medical treatment,Yes,No,Yes,No,No,No,Yes,13,0,0,13,1,14
2001,Brisbane,Medical treatment,Yes,No,Yes,No,No,Yes,No,5,0,0,7,1,8
2001,Brisbane,Medical treatment,Yes,No,Yes,No,Yes,No,No,159,0,0,190,11,201
2001,Brisbane,Medical treatment,Yes,No,Yes,No,Yes,No,Yes,1,0,0,1,0,1
2001,Brisbane,Medical treatment,Yes,No,Yes,No,Yes,Yes,No,2,0,0,6,0,6
2001,Brisbane,Medical treatment,Yes,No,Yes,Yes,No,No,No,11,0,0,11,2,13
2001,Brisbane,Medical treatment,Yes,No,Yes,Yes,No,No,Yes,1,0,0,1,0,1
2001,Brisbane,Medical treatment,Yes,No,Yes,Yes,Yes,No,No,18,0,0,24,2,26
2001,Brisbane,Medical treatment,Yes,Yes,No,No,No,No,No,294,0,0,341,31,372
2001,Brisbane,Medical treatment,Yes,Yes,No,No,No,No,Yes,11,0,0,13,0,13
2001,Brisbane,Medical treatment,Yes,Yes,No,No,No,Yes,No,4,0,0,5,2,7
2001,Brisbane,Medical treatment,Yes,Yes,No,No,Yes,No,No,15,0,0,16,3,19
2001,Brisbane,Medical treatment,Yes,Yes,No,Yes,No,No,No,73,0,0,90,6,96
2001,Brisbane,Medical treatment,Yes,Yes,No,Yes,No,No,Yes,2,0,0,2,0,2
2001,Brisbane,Medical treatment,Yes,Yes,No,Yes,No,Yes,No,2,0,0,2,0,2
2001,Brisbane,Medical treatment,Yes,Yes,No,Yes,Yes,No,No,1,0,0,1,0,1
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,No,No,No,137,0,0,169,10,179
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,No,No,Yes,10,0,0,10,0,10
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,No,Yes,No,3,0,0,5,0,5
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,No,Yes,Yes,1,0,0,6,0,6
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,Yes,No,No,181,0,0,225,18,243
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,Yes,No,Yes,7,0,0,7,0,7
2001,Brisbane,Medical treatment,Yes,Yes,Yes,No,Yes,Yes,No,2,0,0,3,0,3
2001,Brisbane,Medical treatment,Yes,Yes,Yes,Yes,No,No,No,20,0,0,29,0,29
2001,Brisbane,Medical treatment,Yes,Yes,Yes,Yes,No,No,Yes,1,0,0,1,0,1
2001,Brisbane,Medical treatment,Yes,Yes,Yes,Yes,Yes,No,No,26,0,0,35,0,35
2001,Brisbane,Minor injury,No,No,No,No,No,No,No,16,0,0,0,16,16
2001,Brisbane,Minor injury,No,Yes,No,No,No,No,No,123,0,0,0,141,141
2001,Brisbane,Minor injury,No,Yes,No,No,No,No,Yes,4,0,0,0,5,5
2001,Brisbane,Minor injury,No,Yes,No,No,No,Yes,No,2,0,0,0,2,2
2001,Brisbane,Minor injury,No,Yes,No,No,Yes,No,No,2,0,0,0,2,2
2001,Brisbane,Minor injury,No,Yes,No,Yes,No,No,No,14,0,0,0,16,16
2001,Brisbane,Minor injury,No,Yes,Yes,No,No,No,No,45,0,0,0,50,50
2001,Brisbane,Minor injury,No,Yes,Yes,No,No,No,Yes,4,0,0,0,4,4
2001,Brisbane,Minor injury,No,Yes,Yes,No,No,Yes,No,1,0,0,0,1,1
2001,Brisbane,Minor injury,No,Yes,Yes,No,Yes,No,No,51,0,0,0,70,70
2001,Brisbane,Minor injury,No,Yes,Yes,Yes,No,No,No,4,0,0,0,6,6
2001,Brisbane,Minor injury,No,Yes,Yes,Yes,Yes,No,No,2,0,0,0,4,4
2001,Brisbane,Minor injury,Yes,No,No,No,No,No,No,273,0,0,0,306,306
2001,Brisbane,Minor injury,Yes,No,No,No,No,No,Yes,5,0,0,0,6,6
2001,Brisbane,Minor injury,Yes,No,No,No,No,Yes,No,8,0,0,0,8,8
2001,Brisbane,Minor injury,Yes,No,No,No,Yes,No,No,12,0,0,0,14,14
2001,Brisbane,Minor injury,Yes,No,No,Yes,No,No,No,64,0,0,0,72,72
2001,Brisbane,Minor injury,Yes,No,No,Yes,No,Yes,No,2,0,0,0,2,2
2001,Brisbane,Minor injury,Yes,No,No,Yes,Yes,No,No,4,0,0,0,5,5
2001,Brisbane,Minor injury,Yes,No,Yes,No,No,No,No,71,0,0,0,86,86
2001,Brisbane,Minor injury,Yes,No,Yes,No,No,No,Yes,9,0,0,0,10,10
2001,Brisbane,Minor injury,Yes,No,Yes,No,No,Yes,No,4,0,0,0,5,5
2001,Brisbane,Minor injury,Yes,No,Yes,No,Yes,No,No,110,0,0,0,137,137
2001,Brisbane,Minor injury,Yes,No,Yes,No,Yes,No,Yes,1,0,0,0,1,1
2001,Brisbane,Minor injury,Yes,No,Yes,No,Yes,Yes,No,3,0,0,0,4,4
2001,Brisbane,Minor injury,Yes,No,Yes,Yes,No,No,No,10,0,0,0,12,12
2001,Brisbane,Minor injury,Yes,No,Yes,Yes,No,Yes,Yes,1,0,0,0,1,1
2001,Brisbane,Minor injury,Yes,No,Yes,Yes,Yes,No,No,3,0,0,0,3,3
2001,Brisbane,Minor injury,Yes,Yes,No,No,No,No,No,205,0,0,0,242,242
2001,Brisbane,Minor injury,Yes,Yes,No,No,No,No,Yes,11,0,0,0,12,12
2001,Brisbane,Minor injury,Yes,Yes,No,No,No,Yes,No,6,0,0,0,6,6
2001,Brisbane,Minor injury,Yes,Yes,No,No,Yes,No,No,6,0,0,0,7,7
2001,Brisbane,Minor injury,Yes,Yes,No,Yes,No,No,No,53,0,0,0,64,64
2001,Brisbane,Minor injury,Yes,Yes,No,Yes,No,No,Yes,1,0,0,0,1,1
2001,Brisbane,Minor injury,Yes,Yes,No,Yes,No,Yes,No,2,0,0,0,2,2
2001,Brisbane,Minor injury,Yes,Yes,No,Yes,Yes,No,No,1,0,0,0,2,2
2001,Brisbane,Minor injury,Yes,Yes,Yes,No,No,No,No,89,0,0,0,105,105
2001,Brisbane,Minor injury,Yes,Yes,Yes,No,No,No,Yes,7,0,0,0,8,8
2001,Brisbane,Minor injury,Yes,Yes,Yes,No,No,Yes,No,4,0,0,0,6,6
2001,Brisbane,Minor injury,Yes,Yes,Yes,No,Yes,No,No,123,0,0,0,154,154
2001,Brisbane,Minor injury,Yes,Yes,Yes,No,Yes,No,Yes,3,0,0,0,6,6
2001,Brisbane,Minor injury,Yes,Yes,Yes,No,Yes,Yes,No,5,0,0,0,8,8
2001,Brisbane,Minor injury,Yes,Yes,Yes,Yes,No,No,No,13,0,0,0,18,18
2001,Brisbane,Minor injury,Yes,Yes,Yes,Yes,No,No,Yes,1,0,0,0,2,2
2001,Brisbane,Minor injury,Yes,Yes,Yes,Yes,Yes,No,No,7,0,0,0,11,11
2001,Brisbane,Property damage only,No,No,No,No,No,No,No,68,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,No,No,No,No,142,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,No,No,No,Yes,8,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,No,No,Yes,No,7,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,No,Yes,No,No,5,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,Yes,No,No,No,32,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,Yes,No,No,Yes,1,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,Yes,No,Yes,No,1,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,No,No,No,No,64,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,No,No,No,Yes,8,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,No,No,Yes,No,1,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,No,Yes,No,No,79,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,Yes,No,No,No,1,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,Yes,Yes,No,No,1,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,No,No,No,No,442,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,No,No,No,Yes,31,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,No,No,Yes,No,10,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,No,Yes,No,No,19,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,Yes,No,No,No,85,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,Yes,No,No,Yes,2,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,Yes,No,Yes,No,1,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,Yes,Yes,No,No,4,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,No,No,No,199,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,No,No,Yes,31,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,No,Yes,No,6,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,Yes,No,No,279,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,Yes,No,Yes,7,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,Yes,Yes,No,2,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,Yes,No,No,No,17,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,Yes,No,No,Yes,1,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,Yes,Yes,No,No,20,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,No,No,No,No,277,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,No,No,No,Yes,11,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,No,No,Yes,No,10,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,No,Yes,No,No,11,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,Yes,No,No,No,91,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,Yes,No,No,Yes,2,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,Yes,No,Yes,No,3,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,Yes,Yes,No,No,1,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,No,No,No,No,130,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,No,No,No,Yes,9,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,No,No,Yes,No,10,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,No,Yes,No,No,187,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,No,Yes,No,Yes,4,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,No,Yes,Yes,No,4,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,No,No,No,22,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,No,No,Yes,3,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,No,Yes,No,1,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,Yes,No,No,23,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,Yes,Yes,Yes,No,Yes,1,0,0,0,0,0
2001,Central,Fatal,No,Yes,No,No,No,No,No,9,12,3,0,1,16
2001,Central,Fatal,Yes,No,No,No,No,No,No,14,14,1,3,0,18
2001,Central,Fatal,Yes,No,No,No,Yes,No,No,1,1,0,0,0,1
2001,Central,Fatal,Yes,No,No,Yes,No,No,No,2,2,1,0,0,3
2001,Central,Fatal,Yes,No,No,Yes,No,No,Yes,1,1,1,0,0,2
2001,Central,Fatal,Yes,No,Yes,No,No,No,No,3,3,2,0,0,5
2001,Central,Fatal,Yes,No,Yes,No,No,No,Yes,2,2,3,0,0,5
2001,Central,Fatal,Yes,No,Yes,No,Yes,No,No,6,6,3,5,0,14
2001,Central,Fatal,Yes,No,Yes,Yes,Yes,Yes,No,1,2,0,0,0,2
2001,Central,Fatal,Yes,Yes,No,No,No,No,No,1,1,1,0,0,2
2001,Central,Fatal,Yes,Yes,No,No,No,Yes,No,1,2,0,0,0,2
2001,Central,Fatal,Yes,Yes,Yes,No,No,Yes,No,1,1,0,0,0,1
2001,Central,Fatal,Yes,Yes,Yes,Yes,Yes,No,No,1,1,1,0,1,3
2001,Central,Hospitalisation,No,No,No,No,No,No,No,5,0,5,0,0,5
2001,Central,Hospitalisation,No,Yes,No,No,No,No,No,53,0,65,7,1,73
2001,Central,Hospitalisation,No,Yes,No,No,No,No,Yes,1,0,1,0,0,1
2001,Central,Hospitalisation,No,Yes,No,No,No,Yes,No,2,0,4,0,0,4
2001,Central,Hospitalisation,No,Yes,No,No,Yes,No,No,1,0,1,0,0,1
2001,Central,Hospitalisation,No,Yes,No,Yes,No,No,No,7,0,9,0,1,10
2001,Central,Hospitalisation,No,Yes,No,Yes,Yes,No,No,1,0,1,0,0,1
2001,Central,Hospitalisation,No,Yes,Yes,No,No,No,No,9,0,9,1,0,10
2001,Central,Hospitalisation,No,Yes,Yes,No,No,No,Yes,3,0,5,0,0,5
2001,Central,Hospitalisation,No,Yes,Yes,No,Yes,No,No,17,0,22,1,0,23
2001,Central,Hospitalisation,No,Yes,Yes,Yes,No,No,No,2,0,2,2,0,4
2001,Central,Hospitalisation,No,Yes,Yes,Yes,No,No,Yes,1,0,1,1,0,2
2001,Central,Hospitalisation,No,Yes,Yes,Yes,Yes,No,No,1,0,1,0,0,1
2001,Central,Hospitalisation,Yes,No,No,No,No,No,No,123,0,140,20,4,164
2001,Central,Hospitalisation,Yes,No,No,No,No,No,Yes,10,0,14,0,0,14
2001,Central,Hospitalisation,Yes,No,No,No,No,Yes,No,2,0,3,1,0,4
2001,Central,Hospitalisation,Yes,No,No,No,Yes,No,No,4,0,10,27,0,37
2001,Central,Hospitalisation,Yes,No,No,Yes,No,No,No,24,0,28,4,3,35
2001,Central,Hospitalisation,Yes,No,No,Yes,No,No,Yes,1,0,1,0,0,1
2001,Central,Hospitalisation,Yes,No,No,Yes,No,Yes,No,1,0,1,0,1,2
2001,Central,Hospitalisation,Yes,No,Yes,No,No,No,No,37,0,43,5,1,49
2001,Central,Hospitalisation,Yes,No,Yes,No,No,No,Yes,11,0,13,5,0,18
2001,Central,Hospitalisation,Yes,No,Yes,No,No,Yes,No,6,0,8,0,1,9
2001,Central,Hospitalisation,Yes,No,Yes,No,Yes,No,No,36,0,45,4,2,51
2001,Central,Hospitalisation,Yes,No,Yes,Yes,No,No,No,1,0,1,0,0,1
2001,Central,Hospitalisation,Yes,No,Yes,Yes,Yes,No,No,1,0,1,2,0,3
2001,Central,Hospitalisation,Yes,Yes,No,No,No,No,No,19,0,28,4,2,34
2001,Central,Hospitalisation,Yes,Yes,No,No,No,No,Yes,2,0,2,1,0,3
2001,Central,Hospitalisation,Yes,Yes,No,Yes,No,No,No,12,0,12,4,0,16
2001,Central,Hospitalisation,Yes,Yes,No,Yes,Yes,No,No,1,0,1,0,2,3
2001,Central,Hospitalisation,Yes,Yes,Yes,No,No,No,No,9,0,12,2,3,17
2001,Central,Hospitalisation,Yes,Yes,Yes,No,No,No,Yes,3,0,4,0,0,4
2001,Central,Hospitalisation,Yes,Yes,Yes,No,No,Yes,No,1,0,6,0,0,6
2001,Central,Hospitalisation,Yes,Yes,Yes,No,Yes,No,No,11,0,12,4,0,16
2001,Central,Hospitalisation,Yes,Yes,Yes,Yes,No,No,No,1,0,1,0,3,4
2001,Central,Hospitalisation,Yes,Yes,Yes,Yes,Yes,No,No,5,0,5,3,0,8
2001,Central,Medical treatment,No,No,No,No,No,No,No,9,0,0,9,0,9
2001,Central,Medical treatment,No,Yes,No,No,No,No,No,59,0,0,69,4,73
2001,Central,Medical treatment,No,Yes,No,No,No,Yes,No,4,0,0,5,0,5
2001,Central,Medical treatment,No,Yes,No,No,Yes,No,No,3,0,0,3,1,4
2001,Central,Medical treatment,No,Yes,No,Yes,No,No,No,14,0,0,18,4,22
2001,Central,Medical treatment,No,Yes,Yes,No,No,No,No,19,0,0,22,0,22
2001,Central,Medical treatment,No,Yes,Yes,No,No,No,Yes,3,0,0,6,0,6
2001,Central,Medical treatment,No,Yes,Yes,No,Yes,No,No,31,0,0,43,6,49
2001,Central,Medical treatment,No,Yes,Yes,Yes,No,No,No,3,0,0,3,0,3
2001,Central,Medical treatment,No,Yes,Yes,Yes,Yes,No,No,1,0,0,1,0,1
2001,Central,Medical treatment,Yes,No,No,No,No,No,No,87,0,0,98,4,102
2001,Central,Medical treatment,Yes,No,No,No,No,No,Yes,8,0,0,9,1,10
2001,Central,Medical treatment,Yes,No,No,No,No,Yes,No,4,0,0,8,0,8
2001,Central,Medical treatment,Yes,No,No,No,Yes,No,No,3,0,0,4,0,4
2001,Central,Medical treatment,Yes,No,No,Yes,No,No,No,18,0,0,21,1,22
2001,Central,Medical treatment,Yes,No,Yes,No,No,No,No,24,0,0,27,0,27
2001,Central,Medical treatment,Yes,No,Yes,No,No,No,Yes,3,0,0,3,0,3
2001,Central,Medical treatment,Yes,No,Yes,No,No,Yes,No,2,0,0,3,2,5
2001,Central,Medical treatment,Yes,No,Yes,No,Yes,No,No,53,0,0,59,2,61
2001,Central,Medical treatment,Yes,No,Yes,No,Yes,Yes,No,1,0,0,1,0,1
2001,Central,Medical treatment,Yes,No,Yes,Yes,No,No,No,2,0,0,2,1,3
2001,Central,Medical treatment,Yes,Yes,No,No,No,No,No,32,0,0,39,1,40
2001,Central,Medical treatment,Yes,Yes,No,No,No,No,Yes,2,0,0,2,0,2
2001,Central,Medical treatment,Yes,Yes,No,No,No,Yes,No,1,0,0,2,0,2
2001,Central,Medical treatment,Yes,Yes,No,No,Yes,No,No,3,0,0,3,0,3
2001,Central,Medical treatment,Yes,Yes,No,Yes,No,No,No,17,0,0,23,4,27
2001,Central,Medical treatment,Yes,Yes,No,Yes,No,Yes,No,1,0,0,1,0,1
2001,Central,Medical treatment,Yes,Yes,Yes,No,No,No,No,9,0,0,11,3,14
2001,Central,Medical treatment,Yes,Yes,Yes,No,No,No,Yes,3,0,0,5,0,5
2001,Central,Medical treatment,Yes,Yes,Yes,No,No,Yes,No,3,0,0,3,1,4
2001,Central,Medical treatment,Yes,Yes,Yes,No,Yes,No,No,38,0,0,49,6,55
