Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other
365173,Hospitalisation,2014,November,Wednesday,21,Hit object,Single Vehicle,153.16192094983,-28.0165594630389,Christie St,Unknown,Beaudesert - Nerang Road,Canungra,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Darkness - Lighted,Curved - view open,Level,804.0,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,W,0,1,0,0,1,1,0,0,0,0,0,0
365174,Medical treatment,2014,November,Friday,17,Angle,Multi-Vehicle,153.110638969882,-27.9037214569824,Beaudesert - Beenleigh Rd,Mundoolun Connection Rd,Beaudesert - Beenleigh Road,Tamborine,Scenic Rim Region,4270,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,Intersection - T-Junction,Give way sign,100 - 110 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Crest,102.0,Veh'S Adjacent Approach: Right-Thru,Intersection from adjacent approaches,W,0,0,1,0,1,2,0,0,0,0,0,0
365175,Hospitalisation,2014,December,Wednesday,17,Hit object,Single Vehicle,153.139210968726,-27.8883184597409,Tamborine Mountain Rd,Unknown,Tamborine Mountain Road,Tamborine,Scenic Rim Region,4270,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,803.0,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,W,0,1,0,0,1,1,0,0,0,0,0,0
365176,Medical treatment,2014,December,Wednesday,9,Overturned,Single Vehicle,153.18344763916,-27.9096744003734,Tamborine Mountain Rd,Unknown,Tamborine Mountain Road,Tamborine Mountain,Scenic Rim Region,4272,North Tamborine,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Grade,805.0,Off Path-Curve: Out Of Control On Cway,Out of control on curve,W,0,0,1,0,1,0,0,1,0,0,0,0
365177,Hospitalisation,2014,December,Saturday,17,Hit object,Single Vehicle,153.202177945201,-28.0181644671179,Beaudesert - Nerang Rd,Unknown,Beaudesert - Nerang Road,Witheren,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Wet,Raining,Dawn/Dusk,Curved - view obscured,Grade,805.0,Off Path-Curve: Out Of Control On Cway,Out of control on curve,E,0,1,0,0,1,1,0,0,0,0,0,0
365178,Hospitalisation,2015,January,Thursday,20,Overturned,Single Vehicle,153.09494096416,-27.9620134558594,Beaudesert - Nerang Rd,Boyland Rd,Beaudesert - Nerang Road,Boyland,Scenic Rim Region,4275,Beaudesert,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,Intersection - T-Junction,Give way sign,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view open,Level,805.0,Off Path-Curve: Out Of Control On Cway,Out of control on curve,W,0,1,0,0,1,1,0,0,0,0,0,0
365179,Minor injury,2015,March,Tuesday,8,Angle,Multi-Vehicle,153.164447949486,-28.017075463298,Christie St,Unknown,Beaudesert - Nerang Road,Canungra,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,700.0,Off Path-Straight: Other,Other,W,0,0,0,1,1,1,0,0,0,1,0,0
365180,Medical treatment,2015,March,Tuesday,2,Hit object,Single Vehicle,153.132197970089,-27.8836424589971,Tamborine Mountain Rd,Unknown,Tamborine Mountain Road,Tamborine,Scenic Rim Region,4270,North Tamborine,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,Bridge/Causeway,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Curved - view obscured,Level,804.0,Off Path-Curve: Off Cway Lt Bend Hit Obj,Off carriageway on curve hit object,E,0,0,3,0,3,1,0,0,0,0,0,0
365181,Hospitalisation,2015,March,Friday,15,Fall from vehicle,Single Vehicle,153.173450947853,-28.0220944642463,Beaudesert - Nerang Rd,Unknown,Beaudesert - Nerang Road,Witheren,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Wet,Raining,Daylight,Curved - view obscured,Grade,805.0,Off Path-Curve: Out Of Control On Cway,Out of control on curve,E,0,1,0,0,1,0,1,0,0,0,0,0
365182,Hospitalisation,2015,May,Thursday,11,Sideswipe,Multi-Vehicle,153.110638969882,-27.9037214569824,Beaudesert - Beenleigh Rd,Mundoolun Connection Rd,Beaudesert - Beenleigh Road,Tamborine,Scenic Rim Region,4270,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,Intersection - T-Junction,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,303.0,Veh'S Same Direction: Right Rear,Rear-end,N,0,1,0,0,1,2,0,0,0,0,0,0
365183,Hospitalisation,2015,May,Sunday,12,Angle,Multi-Vehicle,153.126404783838,-28.0469836236952,Lamington National Park Rd,Unknown,Lamington National Park Road,Canungra,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,406.0,Veh'S Manoeuvring: Leaving Driveway,Vehicle leaving driveway,W,0,1,0,0,1,1,0,0,0,1,0,0
365184,Hospitalisation,2015,May,Sunday,14,Fall from vehicle,Single Vehicle,153.112802977376,-27.905833651217,Mundoolun Connection Rd,Unknown,Mundoolun Connection Road,Tamborine,Scenic Rim Region,4270,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,503.0,Veh'S Overtaking: Pulling Out,Overtaking same direction,S,0,1,2,0,3,0,2,0,0,0,0,0
365185,Hospitalisation,2015,June,Tuesday,2,Hit object,Single Vehicle,153.207722944691,-28.0173874676724,Beaudesert - Nerang Rd,Unknown,Beaudesert - Nerang Road,Witheren,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,803.0,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,W,0,2,1,0,3,1,0,0,0,0,0,0
365186,Fatal,2015,July,Saturday,15,Hit object,Single Vehicle,153.199485936276,-28.0899574674086,Beechmont Rd,Unknown,,Beechmont,Scenic Rim Region,4211,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Grade,803.0,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,S,1,0,0,0,1,0,1,0,0,0,0,0
365187,Fatal,2015,July,Saturday,18,Hit object,Single Vehicle,153.115835970198,-27.8967974574515,Beaudesert - Beenleigh Rd,Unknown,Beaudesert - Beenleigh Road,Tamborine,Scenic Rim Region,4270,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Grade,703.0,Off Path-Straight: Left Off Cway Hit Obj,Off carriageway on straight hit object,N,1,0,0,0,1,1,0,0,0,0,0,0
365188,Hospitalisation,2015,July,Sunday,11,Fall from vehicle,Single Vehicle,153.206303932369,-28.1145004682901,Beechmont Rd,Unknown,Beechmont Road,Beechmont,Scenic Rim Region,4211,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Clear,Daylight,Curved - view open,Level,805.0,Off Path-Curve: Out Of Control On Cway,Out of control on curve,N,0,1,0,0,1,0,1,0,0,0,0,0
365189,Hospitalisation,2015,July,Saturday,10,Fall from vehicle,Single Vehicle,153.181935734717,-28.0392684682379,Beechmont Rd,Unknown,,Witheren,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Crest,805.0,Off Path-Curve: Out Of Control On Cway,Out of control on curve,S,0,1,0,0,1,0,1,0,0,0,0,0
365190,Medical treatment,2015,August,Tuesday,14,Hit object,Single Vehicle,153.206383944886,-28.0170214675341,Beaudesert - Nerang Rd,Unknown,Beaudesert - Nerang Road,Witheren,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,704.0,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,W,0,0,1,0,1,1,0,0,0,0,0,0
365191,Medical treatment,2015,August,Friday,10,Sideswipe,Multi-Vehicle,153.147155967391,-27.8919694605709,Tamborine Mountain Rd,Unknown,Tamborine Mountain Road,Tamborine,Scenic Rim Region,4270,North Tamborine,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Crest,305.0,Veh'S Same Direction: Lane Side Swipe,Lane changes,E,0,0,1,0,1,0,1,0,0,0,0,1
365192,Medical treatment,2015,August,Saturday,11,Overturned,Single Vehicle,153.189310932879,-28.1251144666557,Beechmont Rd,Unknown,,Beechmont,Scenic Rim Region,4211,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,301.0,Veh'S Same Direction: Rear End,Rear-end,S,0,0,2,2,4,2,1,0,0,0,0,0
365193,Hospitalisation,2015,August,Sunday,11,Hit object,Single Vehicle,153.204212945158,-28.0167544673125,Beaudesert - Nerang Rd,Unknown,Beaudesert - Nerang Road,Witheren,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,803.0,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,E,0,1,0,0,1,0,1,0,0,0,0,0
365194,Hospitalisation,2015,November,Friday,19,Overturned,Single Vehicle,153.043078952235,-28.100061451726,Junction Rd,Unknown,,Kerry,Scenic Rim Region,4285,Beaudesert,Logan,South Eastern,SEQ South,South Coast,Beaudesert,Beaudesert,Logan - Beaudesert,Inner Regional,Scenic Rim,Wright,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,805.0,Off Path-Curve: Out Of Control On Cway,Out of control on curve,N,0,1,0,0,1,1,0,0,0,0,0,0
365195,Hospitalisation,2015,November,Sunday,12,Fall from vehicle,Single Vehicle,153.109581946828,-28.0849594582978,Lamington National Park Rd,Unknown,Lamington National Park Road,Sarabah,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Level,802.0,Off Path-Curve: Off Cway Left Bend,Off carriageway on curve,W,0,2,0,0,2,0,1,0,0,0,0,0
365196,Hospitalisation,2015,November,Saturday,15,Rear-end,Multi-Vehicle,153.11296096933,-27.9060574572346,Mundoolun Connection Rd,Vineyard Wy,Mundoolun Connection Road,Tamborine,Scenic Rim Region,4270,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,Intersection - T-Junction,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,308.0,Veh'S Same Direction: Right Turn S/Swipe,Parallel lanes turning,S,0,1,0,0,1,1,1,0,0,0,0,0
365197,Hospitalisation,2015,December,Saturday,8,Hit object,Single Vehicle,153.202469945165,-28.0181944671476,Beaudesert - Nerang Rd,Unknown,Beaudesert - Nerang Road,Witheren,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Grade,201.0,Veh'S Opposite Approach: Head On,Head-on,E,0,2,0,1,3,3,0,0,0,0,0,0
365198,Minor injury,2015,December,Sunday,12,Angle,Multi-Vehicle,153.114398968802,-27.9089614574023,Mundoolun Connection Rd,Unknown,Mundoolun Connection Road,Tamborine,Scenic Rim Region,4270,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,506.0,Veh'S Overtaking: Overtake-Right Turn,Overtaking same direction,S,0,0,0,2,2,2,0,0,0,0,0,0
365199,Hospitalisation,2015,December,Thursday,10,Head-on,Multi-Vehicle,153.199185938821,-28.0704094672251,Beechmont Rd,Unknown,,Witheren,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Grade,201.0,Veh'S Opposite Approach: Head On,Head-on,N,0,2,1,0,3,1,2,0,0,0,0,0
365200,Medical treatment,2015,December,Monday,13,Rear-end,Multi-Vehicle,153.161901949831,-28.016560463037,Christie St,Unknown,Beaudesert - Nerang Road,Canungra,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,303.0,Veh'S Same Direction: Right Rear,Rear-end,W,0,0,1,0,1,2,0,0,0,0,0,0
365201,Medical treatment,2016,January,Saturday,12,Rear-end,Multi-Vehicle,153.164386949488,-28.0171094632921,Christie St,Unknown,Beaudesert - Nerang Road,Canungra,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,0 - 50 km/h,Sealed - Dry,Clear,Daylight,Straight,Dip,301.0,Veh'S Same Direction: Rear End,Rear-end,E,0,0,1,0,1,2,0,0,0,0,0,0
365202,Hospitalisation,2016,January,Wednesday,14,Head-on,Multi-Vehicle,153.16839446852,-28.0290224047901,Darlington Range Rd,Unknown,,Witheren,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Unsealed - Dry,Clear,Daylight,Curved - view obscured,Grade,201.0,Veh'S Opposite Approach: Head On,Head-on,S,0,2,0,0,2,2,0,0,0,0,0,0
365203,Medical treatment,2016,January,Friday,14,Head-on,Multi-Vehicle,153.195951365996,-28.0640364818482,Beechmont Rd,Unknown,,Witheren,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,201.0,Veh'S Opposite Approach: Head On,Head-on,W,0,0,1,0,1,2,0,0,0,0,0,0
365204,Hospitalisation,2016,January,Tuesday,16,Hit object,Single Vehicle,153.193315935555,-28.1008614668705,Beechmont Rd,Unknown,,Beechmont,Scenic Rim Region,4211,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Wet,Clear,Daylight,Curved - view open,Level,803.0,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,S,0,1,0,0,1,1,0,0,0,0,0,0
365205,Hospitalisation,2016,January,Thursday,12,Hit object,Single Vehicle,153.204485945106,-28.0169274673415,Beaudesert - Nerang Rd,Unknown,Beaudesert - Nerang Road,Witheren,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,70 km/h,Sealed - Wet,Raining,Daylight,Curved - view open,Grade,803.0,Off Path-Curve: Off Cway Rt Bend Hit Obj,Off carriageway on curve hit object,E,0,1,0,0,1,1,0,0,0,0,0,0
